SystemName,City,State,ResponseId
Arbor Bike,Ann Arbor,MI,R_1fj682aSgNJoOe6
Austin B-Cycle,Austin,TX,R_2tqXItmReuTTtvb
Beverly Hills Bike Share,Beverly Hills,CA,R_3OqaoDaIKdSSqpV
Bike Share ICT,Wichita,KS,R_3Hn7PXygvIPXUFM
Bike Share ICT,Wichita,KS,R_3ffmjBpkDYyvKxx
BikeMidland,Midland,MI,R_2fv2fSUvTg1AMOL
BIKETOWN,Portland,OR,R_2ZEK1koGCenddNP
BIKETOWN,Portland,OR,R_2YmPoHRtArXmRno
Biki,Honolulu,HI,R_dniWFD56uD0gich
Blue Bikes,New Orleans,LA,R_eLJhxUsBNctiyCB
Blue Bikes,New Orleans,LA,R_2D1SFKE6Mcos6Ay
Bluebikes,"Boston, Cambridge, Somerville, Brookline (and coming soon: Everett)",MA,R_4OfIoyBmqsu7vpL
Boise GreenBike,Boise,ID,R_3MDnumx5TFN6Jo1
Breeze Bike Share,Santa Monica,CA,R_eP6uA4Z2bwnOTN7
Bublr Bikes,Milwaukee,WI,R_Desk5Wu7oShjUKB
Capital Bikeshare,Washington,DC,R_2P6YlltGyOqtL5E
Capital Bikeshare MD,Montgomery County MD,MD,R_2wvOC2ba99iQTQe
Cat Bike,Savannah,GA,R_2EAXqd8JdtpaEog
CDPHP Cycle!,"Capital District (Albany, Troy, Schenectady, Saratoga Springs)",NY,R_2qrQwhqjXkQFFWt
CDPHP Cycle!,"Capital District (Albany, Troy, Schenectady, Saratoga Springs)",NY,R_1Cg4fWnFlVHV5gu
Citi Bike,New York,NY,R_1o11uF8yb7gJmco
Citi Bike,New York,NY,R_3k4AVzsHE6MY9PL
Citrix Cycle,Raleigh,NC,R_2xJ0N3MgItvvEQP
CoGo Bike Share,Columbus,OH,R_20PCAON9IucNr0O
Columbike,Columbus,IN,R_6Mt9J5y2WIVzmPT
Denver Bcycle,Denver,CO,R_UtDGW68xWfmpgXv
Des Moines Bcycle,Des Moines,IA,R_3MKWVCkUmrEesS7
Divvy,Chicago,IL,R_8lc8ehlRj6rYO1b
Explore Bike Share,Memphis,TN,R_1CBopTSXR88unF0
Explore Bike Share,Memphis,TN,R_RIkYBpZHeChe4yR
Ford GoBike,SF Bay Area,CA,R_2lcAv534entVhmx
Fort Worth Bike Sharing,Fort Worth,TX,R_2TO8mz2mpxMWCXy
GREENbike,Salt Lake City,UT,R_3GldtcIYqPxlRqU
Greenride Bikeshare,Burlington,VT,R_1jDsZQEP2lSTZ6O
Healthy Ride,Pittsburgh,PA,R_tRFAGdTWdtnVBPH
Holy Spokes,Charleston,SC,R_1doDLsspcipDvYe
Houston BCycle,Houston,TX,R_2VwtbyMJkzlYFMJ
Howard County Bikeshare,Ellicott City,MD,R_7Om57iRdCavXZHH
Indego,Philadelphia,PA,R_PhillyCombined
"Indego ,Metro Bike Share, RTC Bike Share, OK Spokies","Philadelphia, Los Angeles, Las Vegas, Oklahoma City","PA, CA, NV, OK",R_eKdLvI9cEvvXuI9
Indiana Pacers Bikeshare,Indianapolis,IN,R_2UgOCVHjsPTZhik
Indiana Pacers Bikeshare,Indianapolis,IN,R_6sve65bAVCUlWlb
Lime San Mateo,San Mateo,CA,R_pfUpp4G7kz1nK0N
Lime-E (our e-bike product),many,many,R_CgDxZyoA6jfcqKB
LimeBike Ithaca,Ithaca,NY,R_UEHULsbbZpTjZoB
LimeBike Ithaca,Ithaca,NY,R_2e2zn1vayDQ528j
LimeBike Orlando,Orlando,FL,R_UarQwjAsDVYk5r3
Link Dayton Bike Share,Dayton,OH,R_2y42AP8g6hV4qYE
Long Beach Bike Share,Long Beach,CA,R_1INvaXTIr0z8eDY
Lyft Bike & Scooter,"Santa Monica, DC, Denver","CA, DC, CO",R_3nVGH2CZ4Dw8KU2
Mountain Rides Bike Share,Blaine County,ID,R_1QzxpGFeoWLFXAL
mBike,"College Park, and the campus of the University of Maryland",MD,R_2S0HGAoK2UlkTBI
McAllen BCycle,McAllen,TX,R_2uQe3X9anzabqEw
Metro Bike Share,Los Angeles County,CA,R_OP7pmORxan795RL
MoGo,Detroit,MI,R_1EY9JmHD52z4i3V
N/A,Savannah,GA,R_12SCI4onCxwy7rb
Nashville B-cycle,Nashville,TN,R_1qVgp9RrPYNDnNq
Nashville B-cycle,Nashville,TN,R_2PvaQpJ87vVNKcL
Nice Ride,Minneapolis,MN,R_2zC5AEPUUvAfCXT
Pace ABQ,Albuquerque,NM,R_bNI4iDkmwSTpVPX
Pace Fort Collins,Fort Collins,CO,R_2flY50K0w77URFk
Pace Huntsville,Huntsville,AL,R_3gLQpsrujDp464x
PaceRoc,Rochester,NY,R_br19X2q4mlrGHLj
PeaceHealth Rides,Eugene,OR,R_3p4pyMVLCtNFzK8
Pedal Corvallis,Corvallis,OR,R_cPedjwitMHy0Imt
Rapid City Bcycle,Rapid City,SD,R_3rGnaaxSBNvySKd
Red Bike,Cincinnati,OH,R_1jOHDSk2MVYYzGO
Red Bike,Cincinnati,OH,R_21h3cXrVixy58b4
Reddy Bikeshare,Buffalo,NY,R_2fDlLXNvMlUL1bR
Relay Bike Share,Atlanta,GA,R_4NQFNfuUjPwj4mR
Ride On Miami,Miami,FL,R_OIPQQ4h86Hv1dFT
RVA Bike Share,Richmond,VA,R_3JlQCYx4aNE4EWl
SoBi Hamilton,Hamilton,ON,R_3iCivPAsuaU4LpY
Spokies,Oklahoma City,OK,R_1OCWODooSulwEyS
Swell Cycle,San Antonio,TX,R_WjKSdaRFnhdmu6R
This Machine,Tulsa,OK,R_1NkcfHFAX26AEwQ
Topeka Metro Bikes,Topeka,KS,R_pQQ1ZQM5QvIUa2t
Tugo Bike Share,Tucson,AZ,R_1d14ZeJKMVtFp1A
UHBikes,Cleveland,OH,R_PXJA8nMiIlguvmx
UHBikes,Cleveland,OH,R_tDqkQLI6K70hRqF
Upgrade Bike Share,Evansville,IN,R_1jPucEWPOJAXB4g
WE-cycle,Aspen and Basalt,CO,R_27DLk35chfAMkL6
Zagster and Pace,Boston and all across US,MA + 37 others,R_2f3sDlUpL8JJb9s
Zagster Longmont,Longmont,CO,R_1QmuNM0jHyujZ4E
Zagster Roanoke,Roanoke,VA,R_XwgtGjTTGz9Cglb
Zyp BikeShare,Birmingham,AL,R_2XaGPYtpXViRVVT
